City,Age,Pop,Cases
Fredericia,40-54,3059,11
Fredericia,55-59,800,11
Fredericia,60-64,710,11
Fredericia,65-69,581,10
Fredericia,70-74,509,11
Fredericia,>74,605,10
Horsens,40-54,2879,13
Horsens,55-59,1083,6
Horsens,60-64,923,15
Horsens,65-69,834,10
Horsens,70-74,634,12
Horsens,>74,782,2
Kolding,40-54,3142,4
Kolding,55-59,1050,8
Kolding,60-64,895,7
Kolding,65-69,702,11
Kolding,70-74,535,9
Kolding,>74,659,12
Vejle,40-54,2520,5
Vejle,55-59,878,7
Vejle,60-64,839,10
Vejle,65-69,631,14
Vejle,70-74,539,8
Vejle,>74,619,7
